0	0	-91
5	6	-85
13	12	262
18	18	408
22	21	-561
23	24	-268
23	25	-244
27	29	-1153
28	30	-1556
27	31	-1000
27	30	-653
26	31	-1092
31	31	-1727
31	32	-2893
29	31	-2777
31	31	-2600
27	29	-3234
33	33	-3460
29	35	-5090
26	29	-4089
30	32	-3649
33	36	-3497
33	37	-2502
29	34	-3247
31	36	-1672
34	39	-1867
33	35	-2825
34	35	-1971
35	37	-2239
38	40	-2349
34	37	-2294
37	40	-2734
39	41	-2655
38	39	-3845
38	40	-2899
40	43	-2636
41	41	-2368
40	43	-3533
43	45	-3637
43	45	-3833
42	43	-3338
43	46	-2166
44	46	-2111
42	44	-2410
44	47	-3405
45	46	-3753
45	47	-3710
45	48	-2453
45	47	-2941
44	48	-3552
45	48	-3540
48	49	-3515
46	49	-4541
47	50	-4101
47	50	-2954
46	51	-3277
49	50	-2435
48	50	-3631
48	51	-3503
48	52	-2642
48	51	-3350
50	51	-3210
50	51	-4339
49	52	-3991
50	53	-2618
50	52	-3356
50	51	-3143
50	53	-4266
50	53	-3729
51	53	-2337
50	53	-3131
50	52	-3430
51	54	-4180
50	52	-4150
51	53	-3613
51	53	-3430
52	54	-4223
51	54	-3857
51	52	-3277
52	53	-3295
52	55	-3619
51	54	-4351
52	54	-2893
51	53	-3186
53	55	-3619
53	54	-3344
52	55	-4071
52	54	-3521
52	53	-3033
53	55	-4003
53	54	-3259
53	55	-3735
52	54	-3314
53	54	-3082
53	55	-4132
53	55	-3631
53	55	-3631
53	55	-3094
53	55	-4321
54	56	-3283
53	55	-4132
53	56	-4077
53	56	-2709
54	56	-3900
54	56	-2990
53	56	-3833
53	56	-3839
53	56	-2441
54	55	-3314
54	55	-3601
53	56	-4486
54	57	-3570
53	56	-2233
55	55	-3674
53	56	-4345
53	57	-3417
54	57	-2789
54	56	-3466
54	56	-3173
53	57	-4138
54	55	-3515
53	57	-3942
54	56	-4046
54	56	-3900
53	56	-4528
53	56	-3619
54	57	-4376
54	56	-4431
53	56	-4132
53	56	-4327
54	56	-3381
54	55	-3955
53	57	-4516
53	55	-4364
52	54	-3332
54	57	-4309
54	54	-2648
54	56	-3503
52	54	-3485
53	55	-2728
54	57	-3649
54	55	-3295
54	56	-3546
52	54	-3601
54	56	-3570
54	56	-3717
54	58	-3808
53	55	-3094
51	56	-2923
55	56	-2728
54	55	-2709
53	56	-2935
52	55	-2954
52	56	-2911
54	57	-1983
54	56	-4296
53	56	-3521
52	55	-3302
52	56	-4248
55	56	-3057
53	56	-4968
53	56	-4467
53	56	-3552
54	56	-4864
53	56	-5328
54	56	-6085
53	56	-4864
53	56	-4016
54	56	-4675
54	56	-4425
53	56	-4479
53	56	-3784
53	55	-5108
53	56	-5566
53	57	-6524
53	55	-4223
53	56	-4260
52	56	-5108
54	56	-5627
53	56	-6774
53	56	-4425
53	57	-4516
53	56	-5200
54	56	-4803
52	56	-4748
54	55	-4278
52	55	-4614
53	56	-4998
54	57	-4711
54	56	-3485
54	55	-4168
53	55	-4919
54	56	-5029
53	57	-4943
54	55	-3875
54	56	-3985
56	56	-4870
53	57	-4846
54	55	-3582
54	56	-4150
