0	0
-9	-14
-27	-34
-41	-46
-55	-58
-61	-63
-66	-73
-71	-75
-72	-79
-73	-82
-76	-83
-77	-87
-79	-88
-80	-87
-79	-90
-81	-90
-81	-88
-81	-87
-80	-91
-81	-86
-82	-87
-82	-90
-82	-88
-83	-89
-80	-90
-82	-89
-82	-87
-80	-89
-83	-90
-82	-89
-82	-90
-83	-90
-84	-91
-84	-91
-85	-91
-83	-92
-82	-90
-83	-91
-82	-92
-83	-91
-87	-91
-85	-95
-83	-90
-85	-93
-83	-92
-81	-91
-83	-91
-84	-93
-85	-94
-87	-93
-87	-93
-86	-93
-85	-93
-86	-91
-85	-91
-87	-92
-86	-91
-86	-92
-88	-92
-86	-91
-89	-93
-88	-93
-86	-92
-89	-94
-88	-93
-89	-93
-88	-95
-89	-93
-89	-92
-88	-93
-88	-94
-90	-96
-88	-94
-88	-93
-89	-95
-87	-93
-89	-94
-89	-96
-87	-97
-87	-93
-88	-96
-87	-96
-91	-95
-90	-96
-89	-95
-90	-97
-90	-96
-91	-96
-92	-96
-91	-97
-92	-97
-93	-95
-91	-97
-94	-99
-93	-98
-92	-97
-96	-99
-93	-99
-93	-99
-93	-99
