0	0	-85
-1	4	-262
-3	7	-3576
-5	9	-8764
-6	9	-13812
-7	12	-18347
-10	14	-22094
-10	16	-25744
-12	17	-30120
-14	19	-35052
-12	19	-38702
-13	20	-43603
-17	21	-46270
-18	21	-48687
-21	22	-51721
-18	22	-58361
-20	23	-61627
-21	23	-63684
-18	23	-67077
-21	24	-67327
-20	26	-68066
-20	26	-68719
-21	24	-68688
-22	24	-69122
-23	24	-70098
-23	25	-71826
-25	25	-73547
-24	27	-74951
-25	25	-76959
-24	26	-77764
-22	28	-78973
-23	28	-79382
-23	27	-78820
-24	25	-78649
-25	26	-78259
-24	26	-80145
-25	28	-81262
-27	27	-81408
-27	26	-81958
-26	27	-83392
-26	29	-84240
-24	29	-85333
-25	27	-85034
-26	26	-84216
-27	27	-84027
-25	27	-84423
-27	28	-85650
-28	29	-85125
-28	27	-84698
-26	29	-85876
-26	29	-86761
-25	29	-87408
-26	29	-86517
-26	28	-86236
-26	28	-86425
-26	28	-87579
-27	29	-86895
-29	29	-86749
-27	30	-87347
-25	30	-87591
-25	30	-87805
-25	29	-87023
-26	29	-86651
-26	28	-86663
-24	29	-86865
-25	28	-87054
-28	30	-86444
-27	30	-85144
-27	29	-86151
-24	28	-88031
-26	29	-87982
-26	29	-87005
-26	28	-87133
-27	28	-86706
-26	28	-86187
-27	28	-86328
-28	29	-86511
-26	29	-87512
-27	27	-88055
-27	29	-87451
-28	29	-88085
-27	29	-88610
-26	28	-88812
-27	28	-88476
-26	29	-88299
-28	30	-88549
-28	30	-88397
-27	27	-89367
-27	29	-90228
-27	30	-90142
-27	30	-90490
-27	28	-90087
-28	27	-89276
-25	30	-88665
-27	30	-89007
-28	30	-89428
-28	27	-90130
-28	29	-89855
-28	29	-89715
-28	29	-90960
-28	29	-91174
-28	28	-90637
-27	30	-90277
-27	31	-90454
-27	30	-90631
-29	29	-90368
-29	28	-90991
-27	30	-91174
-28	29	-92462
-28	29	-91839
-28	29	-91229
-27	30	-91027
-27	31	-91473
-28	30	-90893
-28	28	-90264
-30	30	-90539
-26	28	-91473
-28	30	-92486
-28	30	-91668
-28	29	-91680
-28	31	-91168
-25	30	-90655
-27	30	-91204
-29	29	-89843
-30	29	-89678
-26	29	-90716
-28	30	-92108
-28	29	-91607
-28	30	-91027
-28	30	-90582
-26	29	-90093
-27	29	-90539
-29	29	-89477
-30	29	-88970
-27	29	-90399
-26	29	-90991
-27	29	-90454
-27	30	-89630
-27	31	-89147
-25	28	-87646
-26	29	-88134
-28	29	-87506
-29	30	-86962
-27	29	-87713
-25	29	-89495
-25	28	-89239
-26	30	-88641
-26	30	-88018
-25	28	-87500
-26	28	-86138
-27	28	-85772
-28	29	-86273
-27	28	-87786
-28	29	-88543
-25	29	-88378
-26	31	-89318
-26	30	-89270
-27	27	-88977
-27	32	-88110
-26	29	-87292
-27	29	-88568
-29	29	-89031
-28	27	-89154
-27	29	-89691
-27	30	-90417
-26	30	-90130
-27	27	-88916
-27	28	-88262
-27	28	-88183
-27	29	-89587
-29	28	-89288
-29	29	-88470
-28	29	-89080
-28	30	-89947
-26	29	-90209
-27	29	-90411
-28	28	-89508
-27	29	-89239
-28	28	-89666
-28	29	-90600
-29	29	-89880
-28	30	-89636
-27	31	-90716
-26	30	-90917
-26	29	-90045
-27	29	-89471
-27	29	-88995
-26	29	-89788
-28	30	-90527
-28	29	-89874
-28	31	-89453
-26	30	-89831
-25	30	-89770
-26	30	-89178
-27	30	-88433
-26	29	-88299
-26	29	-89074
-25	29	-89245
-29	29	-89123
-27	30	-87713
