0	0
-8	-9
-20	-22
-23	-29
-31	-38
-37	-40
-38	-45
-43	-49
-47	-51
-48	-54
-49	-55
-44	-54
-49	-57
-50	-56
-52	-59
-50	-55
-49	-57
-49	-57
-49	-56
-48	-57
-48	-56
-46	-58
-47	-55
-48	-56
-48	-53
-50	-54
-49	-58
-46	-54
-49	-57
-49	-56
-50	-56
-50	-57
-47	-57
-51	-56
-49	-56
-51	-58
-50	-57
-50	-59
-50	-56
-51	-57
-52	-58
-51	-60
-50	-57
-47	-57
-51	-60
-54	-63
-55	-62
-53	-61
-53	-62
-57	-63
-57	-62
-55	-62
-53	-62
-55	-63
-54	-63
-54	-61
-53	-62
-51	-61
-54	-62
-55	-60
-54	-62
-54	-63
-53	-63
-55	-61
-53	-61
-54	-62
-54	-64
-55	-60
-54	-62
-56	-63
-55	-63
-54	-60
-55	-61
-56	-63
-55	-60
-56	-61
-54	-60
-57	-61
-56	-60
-56	-62
-56	-62
-57	-61
-57	-62
-58	-63
-58	-62
-58	-62
-60	-64
-59	-66
-60	-64
-59	-64
-61	-66
-60	-66
-61	-65
-60	-67
-61	-66
-62	-66
-62	-65
-61	-67
-61	-66
-62	-67
