0	0
-1	-4
-1	-6
-2	-8
-2	-8
-3	-10
-4	-12
-6	-13
-7	-14
-10	-15
-11	-18
-15	-21
-13	-20
-15	-19
-16	-19
-18	-21
-19	-21
-18	-20
-17	-20
-18	-19
-17	-20
-18	-20
-19	-21
-21	-24
-20	-24
-20	-21
-20	-22
-22	-23
-22	-25
-21	-22
-22	-21
-22	-23
-23	-23
-23	-24
-24	-25
-24	-26
-23	-26
-25	-25
-25	-27
-24	-26
-25	-26
-26	-26
-26	-27
-26	-27
-27	-28
-27	-29
-27	-27
-27	-29
-27	-29
-27	-28
-28	-28
-28	-29
-29	-30
-29	-30
-29	-30
-28	-30
-29	-30
-30	-31
-29	-30
-29	-30
-30	-30
-30	-32
-31	-31
-30	-32
-30	-31
-31	-32
-30	-31
-30	-31
-31	-32
-31	-32
-31	-33
-34	-31
-31	-32
-31	-34
-31	-31
-31	-33
-32	-32
-32	-33
-31	-33
-32	-32
-31	-32
-32	-34
-31	-32
-32	-32
-32	-33
-31	-34
-32	-33
-32	-32
-32	-34
-32	-33
-32	-32
-31	-33
-32	-34
-33	-34
-31	-33
-33	-33
-31	-34
-32	-34
-33	-32
-31	-34
